title,link,category,description,telephone,address,roadAddress,mapx,mapy
2구역멀티방,,"스포츠,오락>멀티방","서울특별시 광진구 화양동 위치, <b>멀티방</b>.",,서울특별시 광진구 화양동 5-48,서울특별시 광진구 동일로22길 111,318035,549142
엠플레이 건대점,,"스포츠,오락>멀티방","서울특별시 광진구 화양동 소재, <b>멀티방</b>.",02-462-5836,서울특별시 광진구 화양동 9-90,서울특별시 광진구 아차산로29길 12 서강약국,317878,549216
M+2구역멀티방노래방,,"스포츠,오락>노래방",,,서울특별시 광진구 화양동 5-49 3층,,318028,549144
화이트캐슬,,"카페,디저트>테마카페","서울특별시 광진구 화양동 소재, 포토카페.",,서울특별시 광진구 화양동 9-91,서울특별시 광진구 동일로22길 81 캠퍼스 프라자,317908,549206
팝스멀티방 강변역점,http://cafe.daum.net/popsmb6,"스포츠,오락>멀티방","노래, 게임, 인터넷, TV 등 복합문화공간.",02-3436-6900,서울특별시 광진구 구의동 546-11 지너스타워 지하1층,서울특별시 광진구 강변역로4길 10 강변역지너스타워,320073,548517
건대 VR카페  VRavo,http://www.facebook.com/VRavoCafe,"스포츠,오락>오락시설",,02-6465-2688,서울특별시 광진구 화양동 113-1 코지웰 상가건물 203호 VRavo,서울특별시 광진구 능동로19길 35 광진 코지웰,318184,549849
BAD VR 건대점,,"스포츠,오락>오락시설",,,서울특별시 광진구 화양동 7-4 3층,서울특별시 광진구 아차산로 221,317856,549171
모두막 건대점,http://blog.naver.com/modumak,테마카페,,02-6348-0434,서울특별시 광진구 자양동 10-35 2층,서울특별시 광진구 동일로20길 50,317686,549126
브리즈브이알카페 건대점,,"스포츠,오락>오락시설",,,서울특별시 광진구 자양동 7-6,서울특별시 광진구 아차산로 230 2층,317901,549084
위vr,http://www.instagram.com/wevr4565,"스포츠,오락>오락시설",,02-497-1222,서울특별시 광진구 화양동 3-37,서울특별시 광진구 능동로 131 2층,318157,549353
카페데코믹스 홍대점,https://cafedecomicshd.modoo.at,오락시설>만화방,"서울특별시 마포구 서교동 위치, 만화카페.",02-338-2221,서울특별시 마포구 서교동 358-113 3층,서울특별시 마포구 어울마당로 96,304974,550695
클럽보다만화,https://www.facebook.com/clubcomicss/,오락시설>만화방,,02-336-1288,서울특별시 마포구 서교동 395-17,"서울특별시 마포구 잔다리로 23 2층(서교동, 예랑빌딩)",304788,550388
만화카페 즐거운작당,http://instagram.com/happyjakdang,오락시설>만화방,,02-336-9086,서울특별시 마포구 서교동 400-6 대동빌딩 지하1층,서울특별시 마포구 독막로7길 23 대동빌딩 지하1층,304664,550196
딩굴딩굴 알타미라,http://dgdg.modoo.at/,오락시설>만화방,,02-322-7676,서울특별시 마포구 서교동 336-1,서울특별시 마포구 와우산로29길 21,305523,550843
놀숲플러스 홍대점,,"스포츠,오락>만화방",,02-337-6588,서울특별시 마포구 서교동 357-5,서울특별시 마포구 양화로16길 29 B1,304876,550659
벌툰 홍대본점,https://www.facebook.com/벌툰-홍대본점-1238144989580946/,"스포츠,오락>만화방",,02-3142-8880,서울특별시 마포구 서교동 395-18,서울특별시 마포구 독막로7길 63,304777,550373
청춘문화싸롱,http://blog.naver.com/ccmhsalon,오락시설>만화방,,,서울특별시 마포구 서교동 332-15,서울특별시 마포구 와우산로29바길 19 삼이빌딩,305303,550910
놀숲 홍대입구점,,"스포츠,오락>만화방",,02-336-1705,서울특별시 마포구 서교동 358-2,서울특별시 마포구 홍익로 17 5층,305019,550730
킥킥나무,http://kikiknamu.co.kr,오락시설>만화방,,,서울특별시 마포구 동교동 173-14,서울특별시 마포구 양화로 192 지하1층,305332,551221
만화카페킥킥나무,,오락시설>만화방,,,서울특별시 마포구 동교동 173-14,서울특별시 마포구 양화로 192,305331,551226
보드스쿨 신촌점,http://cafe.naver.com/cafeboardschool,"카페,디저트>보드카페",,02-3144-8658,서울특별시 서대문구 창천동 52-51 3층,서울특별시 서대문구 연세로7길 14,306196,551156
펀타임,,"카페,디저트>보드카페","신촌 <b>보드</b>카페, <b>보드게임방</b>.",,서울특별시 서대문구 창천동 18-5 6층,서울특별시 서대문구 명물길 6,306310,551105
펀카페,,"카페,디저트>보드카페","서울특별시 서대문구 창천동 위치, <b>보드</b>게임 전문.",02-313-2142,서울특별시 서대문구 창천동 18-1,서울특별시 서대문구 명물길 10 조은빌딩 3층,306322,551116
랜드마크,http://cafe.naver.com/landmarkcafe,"카페,디저트>보드카페","서대문구 창천동 위치, <b>보드게임방</b>, 카드게임.",02-336-7834,서울특별시 서대문구 창천동 52-22,서울특별시 서대문구 연세로9길 10-1,306208,551248
청춘고양이카페 홍대점,http://ycatcafe.modoo.at/,"카페,디저트>고양이카페",<b>홍대</b>최초의 <b>고양이</b><b>카페</b> <b>홍대</b>놀이터앞위치 사랑스럽고 애교많은 40여마리의 냥이들의 집에 놀러오세요~,02-336-5779,서울특별시 마포구 서교동 358-92 3층,서울특별시 마포구 와우산로21길 12-6,305048,550606
고양이다락방 홍대점,http://www.godabang.com/,"카페,디저트>고양이카페",서울특별시 마포구 동교동 소재의 <b>고양이</b> <b>카페</b>.,02-3142-3123,서울특별시 마포구 동교동 162-14,서울특별시 마포구 홍익로6길 21,305034,550911
카페데코믹스 홍대점,https://cafedecomicshd.modoo.at,오락시설>만화방,"서울특별시 마포구 서교동 위치, 만화<b>카페</b>.",02-338-2221,서울특별시 마포구 서교동 358-113 3층,서울특별시 마포구 어울마당로 96,304974,550695
오늘도 고양이,http://blog.naver.com/always_cat,"카페,디저트>고양이카페",,,서울특별시 마포구 서교동 339-13,서울특별시 마포구 와우산로29가길 42,305407,550738
라쿤카페 테이블에이 본점,http://tableashop.modoo.at/,"카페,디저트>카페",,02-324-5542,서울특별시 마포구 창전동 6,서울특별시 마포구 와우산로 146 그레이스빌딩,305610,550746
카페펫크루,,"카페,디저트>고양이카페",,02-332-1367,서울특별시 마포구 서교동 342-3,서울특별시 마포구 와우산로25길 13 2층,305288,550742
라쿤카페 맹쿤 2호점,http://맹쿤.com/,"카페,디저트>애견카페",,,서울특별시 마포구 서교동 407-27 4층 맹쿤,서울특별시 마포구 잔다리로 5-1,304973,550360
멀티플러스 홍대점,https://hongdaemultiplus.modoo.at,"스포츠,오락>멀티방","서울특별시 마포구 서교동 위치, 노래방, 영화감상, 인터넷, TV시청 등 <b>멀티방</b> 안내.",02-333-7799,서울특별시 마포구 서교동 355-2 3층,서울특별시 마포구 홍익로5길 13,304916,550778
스토리M멀티방노래방,,"스포츠,오락>노래방",,,서울특별시 마포구 동교동 169-22,서울특별시 마포구 양화로18안길 22 B&J빌딩,305288,551057
룸카페휴,http://huecafe.blog.me/,"카페,디저트>카페",,02-332-8903,서울특별시 마포구 서교동 364-22,서울특별시 마포구 와우산로21길 31-10,304930,550535
프리존,http://blog.naver.com/keywest17,"스포츠,오락>멀티방",,02-716-8910,서울특별시 마포구 노고산동 106-7,서울특별시 마포구 서강로 132,306138,550722
휴스테이,,"스포츠,오락>멀티방",,02-337-0220,서울특별시 서대문구 창천동 52-158 2층,서울특별시 서대문구 연세로11길 14,306196,551294
지플렉스,http://gplex.kr/,"스포츠,오락>멀티방",,02-6253-3357,서울특별시 서대문구 창천동 31-32,서울특별시 서대문구 명물길 17,306326,551164
엠플레이 신촌점,,"스포츠,오락>멀티방","서울특별시 서대문구 창천동 소재, <b>멀티방</b>.",02-364-3339,서울특별시 서대문구 창천동 31-92 경오빌딩 7층,서울특별시 서대문구 명물길 19 경오빌딩,306339,551165
서강대 P관플스방,http://sogangp.modoo.at/,"스포츠,오락>플레이스테이션방","서울특별시 마포구 신수동 위치, 플스방.",,서울특별시 마포구 신수동 81-23,서울특별시 마포구 백범로 40-1,306320,550410
샵브이알 1호점,https://www.facebook.com/shopvr.official/?ref=ts&fref=ts,"카페,디저트>테마카페",,02-336-2242,서울특별시 마포구 서교동 358-51 3층,서울특별시 마포구 와우산로21길 36-10 3층,304961,550621
서울이스케이프룸 홍대2호점,http://seoul-escape.com/,"레저,테마>방탈출카페",,02-333-6502,서울특별시 마포구 서교동 410-9,서울특별시 마포구 와우산로17길 11 코스모스빌딩 3층,304982,550317
더메이즈VR,http://www.themazevr.co.kr/,"스포츠,오락>PC방",,02-6359-0015,서울특별시 마포구 서교동 407-6 지하1층 더메이즈VR,서울특별시 마포구 와우산로17길 10,304988,550342
엔터브이알카페 홍대1호점,,"스포츠,오락>오락시설",,,"서울특별시 마포구 서교동 364-17 2, 3층","서울특별시 마포구 어울마당로 74 2, 3층",304912,550485
샵브이알 2호점,https://www.facebook.com/shopvr.official/,"카페,디저트>테마카페",,02-3143-6919,서울특별시 마포구 서교동 405-5 4층,서울특별시 마포구 잔다리로 21-1 4층,304816,550379
브이알카페스포츠,http://vrcarver.com/,테마카페,,02-336-1303,서울특별시 마포구 서교동 334-21,서울특별시 마포구 와우산로29라길 11,305411,550874
